ID	Title	Hobby
1	痛憾之事	[NAME]曾在一次切磋中误杀好友，这让[IT]时常悔恨难解。
2	痛憾之事	[NAME]曾经约心爱之人游玩时，被对头找上门来。争斗之下，爱人死于敌手，这是[NAME]永生难解的心伤。
3	痛憾之事	[NAME]在一次斗法中，因中了敌人的幻术而杀死数十名同门师兄弟。此事是[NAME]心中难消的梦魇。
4	痛憾之事	[NAME]在一次与好友探险中，因遇到其最喜欢的[LIKEITEM]而被贪婪蒙蔽心智，竟然将好友打成重伤，并为此决裂。事后[NAME]也十分后悔此事，可惜往事不可追。
5	痛憾之事	[NAME]曾经十分喜欢[HATEITEM]，但在一次仙府探索中，自己因贪心[HATEITEM]而误入陷阱，至交好友为救[IT]而失去了性命。此事成为[NAME]永远的遗憾。
6	痛憾之事	[NAME]曾经十分喜欢[HATEITEM]，但有一次斗法中因[HATEITEM]而分心，导致自己的挚爱死于敌手。[NAME]为此抱憾终生。
7	心中伤疤	[NAME]有一次为了[LIKEITEM]而错失结丹机缘，耽搁了修行。此事成为同门的笑柄，亦是[NAME]心中的伤疤。
8	心中伤疤	[NAME]曾经在一个小门派修行，在一次与同门的聚会中，被不停用其最讨厌的[HATEITEM]调笑。[NAME]忍无可忍，狂性大发，出手将同门尽数打死，[NAME]也因此叛逃许久，最终才拜入如今的师门。此事是其一生的阴影，难以释怀。
9	心中伤疤	[NAME]曾经与一名道友两情相悦，然而在道友生辰之时，[NAME]却为了最喜欢的[LIKEITEM]而放了对方鸽子，而后失去了这段姻缘。此事是[NAME]心中永远的伤疤。
10	心中伤疤	[NAME]一向很自得于，自己收藏的各种[LIKEITEM]，然而有两个同门总对此冷嘲热讽。[NAME]忍无可忍，引诱二人落单，将其诛杀。此事亦成为[NAME]心中的禁忌。
11	心中伤疤	[NAME]曾经十分喜欢[LIKEITEM]，但总遭到同辈师兄弟嘲笑，说[IT]本事没多少，喜欢的东西还挺高级，真是癞蛤蟆想吃天鹅肉。[NAME]忍无可忍，终于为此叛逃出之前的门派。此事亦成为[IT]心中的禁忌。
12	心中伤疤	[NAME]曾经与一名道友两情相悦，然而在对方知道[NAME]喜欢[LIKEITEM]时，果断舍弃了[IT]。[NAME]对此非常不解，此事也成了[IT]心中永远的伤疤。
13	执著之念	[NAME]特别执著珍惜与自己今生的血亲，虽然他们不得入仙门，但是[IT]暗中护持了他们凡间的生活幸福安康。[IT]的亲人算是其心中的执念。
14	执著之念	[NAME]特别执著于[LIKEITEM]，[IT]穷尽一生之力收集了许多[LIKEITEM]，视若珍宝。这些宝贝是[IT]心中的执念。
15	执著之念	[NAME]特别执著于门派，在[IT]心中门派高于一切，门派就是[IT]心中最大的执念。
16	执著之念	[NAME]特别执著于优秀的晚辈弟子，在[IT]看来，青年才俊才是门派真正的希望，派中优秀的晚辈是[IT]心中最大的执念。
17	执著之念	[NAME]特别执著于年轻的肉体，在[IT]看来，修行就是为了获得长久的寿命和年轻的身体，这是[IT]心中最大的执念。
18	执著之念	[NAME]特别执著于自己的容貌，在[IT]看来自身的容貌举世无双，无人能及，这是[IT]心中最大的执念。
10001	执著之念	[NAME]想以大神通开辟一个前所未有的，真正的江湖世界。在他的想象中，这个世界众生自有其人生，万物自有其规律，侠者天下为公，浪者逍遥纵横……[NAME]本已几乎修得正果，但为了更完美的达成自己的目标，他不惜踏上再造重修的道路。在重修的过程中，[NAME]遭到了种种质疑，还遭外魔盗法，诸多劫难。但纵使如今重修化为凡人之体，其心中之志却从未消减，信念不灭，其身无敌！
