Tag	TargetType	Q	MA	SA	FA	fParam	sParam
类型标签	0是目标不论仙凡1是目标为凡人2是目标为仙人3是目标为仙人且我比其境界高4是目标为仙人且我比其境界低4是目标为仙人且我与其境界一样	问题	无成功失败/中性回答	成功回答	失败回答	数值参数	文本参数
LingHun_AskTNpc	0	把你知道关于[TSCHOOL][TNAME]的事统统告诉我！	我真的不认识[TIT]	我说我说……	没有其他的东西了，真的没有了		
LingHun_AskTNpcData	0	把你知道关于[TSCHOOL][TNAME][TXT]相关的事统统告诉我！	我不知道..我不知道..	我说我说……	没有其他的东西了，真的没有了		
LingHun_AskTNpcSecret	0	把你知道[TSCHOOL][TNAME]的隐秘统统告诉我！	我不知道..我不知道..	我说我说……	我死也不会说		
							
							
LingHun_Die	0	[HENAME]已经不行了	......             				
LingHun_AskNpc	0	你老老实实交代便是，投胎为人不易，如果你老实交代，我还能救你一命，否则不是可惜了你的性命？	......             	好吧……我说，我都交代……	那又怎样？有什么手段尽管使出来吧……		
LingHun_DontKnow	0	把这个告诉我，抵抗有什么好处呢？	……我真的不知道……				
							
LingHun_Feature	0	我早知道你是[TXT]的人，我有的是办法对付你，你还是老实点，省得多受这些折磨。	……	好…好…我都说，不要再继续了……	那又怎样？有什么手段尽管使出来吧……		
LingHun_Feature_Open	0	哈哈哈，听说你是个[TXT]的家伙。我倒要好好看看。	……([NAME]的灵魂一阵抽搐，似乎十分痛苦)……				
							
LingHun_LikeItem	0	你喜欢[TXT]是吧？为什么要嘴硬呢，只要老实交代，你以后还能拥有无尽的[TXT]，何必呢？（用幻境模拟出大量的[TXT]在其周围。）	……	好…好…只要给我[TXT]，我都说……	那又怎样？有什么手段尽管使出来吧……		
LingHun_LikeItem_Open	0	你喜欢[TXT]是吧？可惜马上就是我的了！哈哈哈！（用幻境模拟出大量的[TXT]，并将其夺走。）	……([NAME]的灵魂一阵抽搐，似乎十分痛苦)……				
							
LingHun_HateItem	0	你不喜欢[TXT]是么？只要你老实交代，我保证不让你再忍受这些……（用幻境模拟出大量的[TXT]环绕[HENAME]。）	……	好…好…我都交代，不要再继续了……	那又怎样？有什么手段尽管使出来吧……		
LingHun_HateItem_Open	0	你不喜欢[TXT]是吧？哈？！换挺有脾气？（用幻境模拟出[TXT]，并将其杵在[NAME]头上。）	……([NAME]的灵魂一阵抽搐，似乎十分痛苦)……				
							
LingHun_Hobby	0	听说这是你的[TXT]？只要你交代，我会帮你解脱。	……	别再说了！别再说下去了！我说，我都说！	那又怎样？有什么手段尽管使出来吧……		
LingHun_Hobby_Open	0	哈？听说这是你的[TXT]？看不出来你还是个人物，不过放心，我会用这个让你身败名裂，追悔莫及！哈哈哈！	……([NAME]的灵魂一阵抽搐，似乎十分痛苦)……				
							
LingHun_Esoterica	0	你听说你很擅长[TXT]？乖乖交代吧，否则你这一身所学又为了什么？	……	好，好的……我交代，我都交代……	那又怎样？有什么手段尽管使出来吧……		
LingHun_Esoterica_Open	0	你这种人也配有[TXT]？乖乖交出来，省得明珠蒙尘，我也给你个痛快！	……	好，好，我告诉你……不要再继续了	………嗯………		
							
LingHun_Secret	0	[TXT]藏在心里很久了吧，你还知道些什么，都交代出来吧！	……	好，好，我都说！饶了我把……	我不知道更多了……		
LingHun_Secret_Open	0	把[TXT]有关的事都告诉我吧，这样你就解脱了。	……	好，好，我都说！饶了我把……	我不知道更多了……		
							
LingHun_KnowClue	0	死到临头，守着这些秘密还有什么用？把关于[TXT]的线索都交代出来吧，给你个痛快。。	……	我知道这个，我还知道别的，我都交代！	我不知道，我不知道，别逼我！		
LingHun_DontKnowClue	0	死到临头，守着这些秘密还有什么用？把关于[TXT]的线索都交代出来吧，给你个痛快。。	……	我不知道这个，但是我觉得有些事情跟这个有关系……我都告诉你，给我个痛快吧……	我不知道，我不知道，别逼我！		
LingHun_KnowOtherClue	0	死到临头，守着这些秘密还有什么用？把关于[TXT]的线索都交代出来吧，给你个痛快。。	……	我真的不知道这个，但是我知道另外这些秘密，我都说，别继续下去了……	我不知道，我不知道，别逼我！		
							
LingHun_KnowSecret	0	死到临头，守着这些秘密还有什么用？把关于[TXT]的线索都交代出来吧，给你个痛快。。	……	我知道，我都交代！放过我吧……	我不知道，我不知道，别逼我！		
LingHun_KnowOtherSecret_Open	0	死到临头，守着这些秘密还有什么用？把关于[TXT]的线索都交代出来吧，给你个痛快。。	……	我不知道，但是我知道其他秘密啊，求你别继续了……	我不知道，我不知道，别逼我！		
LingHun_KnowOtherSecret_Close	0	死到临头，守着这些秘密还有什么用？把关于[TXT]的线索都交代出来吧，给你个痛快。。	……	我不知道这个，我知道的和这些没关系啊，为什么要这样对我！	我不知道，我不知道，别逼我！		
