ID	Desc	Name

1	[b][align=center][color=#ffe5a1][size=22]New Content: Ancient Beasts[/size][/color][/align][/b]Slay the ancient beasts and procure rare materials, which bring new growth space for cultivators.\n\n[b][color=#F2D896][size=20]Flood Dragon: [/size][/color][/b]\nWith the recovery of the Qi of heaven and earth, the dragon egg sealed in the mountains of the moon wheel in ancient times hatched again. The newly hatched dragon opened up the earth's surface with magical powers and wanted to help it recover by enslaving creatures on the earth's surface with miracles.\n\n[b][size=20][color=#F2D896]Phoenix: [/color][/size][/b]\nThe ancient dragon forbidden area of Longtai reappeared. People went to look for opportunities. But no one expected that the formation used to seal the fierce Phoenix, the great enemy of the dragon clan, had also been inadvertently destroyed by people who knew nothing about it. It is said that the fierce Phoenix was originally a auspicious beast in ancient times. After killing and robbing, it became nirvana. After waking up again, it was already in a frenzy. Its fierce power was unparalleled. It even ate dragons. It was also the most fierce existence in ancient times when there were many strong people. Now the fierce Phoenix is recovering again. Although its strength is not one in ten, it may also be a catastrophe in the world...\n\n[b][size=20][color=#F2D896]Torch Dragon: [/color][/size][/b]\nThe torch dragon was originally the manifestation of the way of yin and Yang in the world. It has returned to the Tao since ancient times. Now, the increasingly fierce dispute between good and evil once again disrupts the avenue of yin and Yang. Affected by this Qi machine, the real body of the torch dragon is again manifested in the world in a chaotic form.	Ancient Beasts
2	[b][align=center][color=#ffe5a1][size=22]New Content: Fengshui Relics[/size][/color][/align][/b][b][size=20][color=#F2D896]Relics generation: [/size][/color][/b]\nItems can become fengshui relics by accident. When they are spectre refined there is also a chance. The higher the item tier is, the higher the chance will be.\n\n[b][size=20][color=#F2D896]Fengshui Identify: [/size][/color][/b]\nNew miracle 'Fengshui Identify', can be used to identify fengshui relics.\n\n[b][size=20][color=#F2D896]Relic requirements: [/size][/color][/b]\nPuting fengshui relics in rooms and fullfill their requirements can improve the room fengshui to very auspicious, otherwise they will become very ominous.\n\n[b][size=20][color=#F2D896]Sentient Relics: [/size][/color][/b]\nSentient relics will provide additional attibutes to characters if fullfilling their requirements and vice versa.\n\n[b][size=20][color=#F2D896]Special relics: [/size][/color][/b]\nSome relics with specific origins often have extremely special and powerful effects, such as the Spirit Pagoda and the imperial corpse talisman. These towns are either hidden in a secret place or have their own ownership and need to be found by yourself.	Fengshui Relics
3	[b][align=center][color=#ffe5a1][size=22]New Content: Animal Bleed[/size][/color][/align][/b][b][size=20][color=#F2D896]Tame animals: [/size][/color][/b]\nIt is now possible to feed disabled animals and tame them with their favorite food as bait.\n\n[b][size=20][color=#F2D896]Animal Bleed: [/size][/color][/b]\nPlayers can plan the pastures for animals by planning the pasture area. After animals are domesticated, they will carry out production and breeding, so as to provide output and add vitality to the sect.\n\n[b][size=20][color=#F2D896]Pet Interactions: [/size][/color][/b]\nDomesticated animals will interact closely with characters, and players can also let domesticated animals follow a character. In the process of interaction, characters can even get insight from them.	Animal breed
4	[b][align=center][color=#ffe5a1][size=22]New Content: Spirit Roots[/size][/color][/align][/b][b][size=20][color=#F2D896]Plant spirit roots: [/size][/color][/b]\nNow five element fruits can be plant.Spirit roots require harsh conditions, but it will also bring great help to cultivation.\n\n[b][size=20][color=#F2D896]Nurture: [/size][/color][/b]\nDuring the spirit roots growing, they can be nurtured by different items. Spirit roots can react differently to items, even return some special things.\n\n[b][size=20][color=#f2d896]Sympathy:[/size][/color][/b]\nDuring the growth of the spirit plant, if a character practices near the spirit plant, he will enter a state of sympath with the spirit plant. The character will gain sympathetic gain according to the state of the spirit plant\nin the sympathetic state, the character will become increasingly close to the spirit plant. Finally, with the help of the spirit plant, you can peep into the origin of the five elements and understand the special and powerful secret script\n\n[b][size=20][color=#f2d896]Spiritual plant phase:[/size][/color][/b]\nspiritual plant has two tendencies: bless and curse, which are determined by the value of bless tendency. In the process of spiritual plant growth, its growth conditions will affect its phase tendency\nIf the spiritual plant is  blessing, it will grow slowly, but it will feed back and improve the surrounding environment.If the spiritual plant is  cursed, it will grow faster, but it will double absorb the surrounding aura and nutrients, making the surrounding environment worse\nspiritual plants have an initial tendency according to different types. In addition, the phase tendency is related to the five elements: nutrient attribute, weather, average attribute of the surrounding environment within 10x10, sympathetic role attribute and season. Generally speaking, if five elements begets the spirit plant, its bless will increase, vice versa.\n\n[b][size=20][color=#f2d896]Spiritual plant event:[/size][/color][/b]\nspiritual plant will trigger some events during its growth, such as inducing changes in the sky, bringing enlightenment to the Tao, condensing precious treasures such as the Fortune Dew, and even attracting monster invasion. These events are both opportunities and challenges. Refining brings great help to growth.	Spirit Roots
5	[b][align=center][color=#ffe5a1][size=22]New Event: Ancient Sages[/size][/color][/align][/b]With the resurgence of the ancient beasts, the ancient sages that live in seclusion have also emerged. With their own names, powerful cultivations and unique treasures, they are waiting for you to challenge them.	Ancient Sages
6	[b][align=center][color=#ffe5a1][size=22]New Contents[/size][/color][/align][/b][b][size=20][color=#F2D896]New pet Panda add miracles: [/size][/color][/b]\nNatural Friend: Tame a wild animal.\n\n[b][size=20][color=#F2D896]New pets: [/size][/color][/b]\n[b]·[/b]Float Dragon Changhai\n[b]·[/b]Dark Phoenix Yiming\n\n[b][size=20][color=#F2D896]New buildings: [/size][/color][/b]\n[b]·Float Dragon Statue: [/b]Can be used to revive or summon Float Dragon.\n[b]·Dark Phoenix Statue: [/b]Can be used to revive or summon Dark Phoenix.\n\n[b][size=20][color=#F2D896]Unlock items: [/size][/color][/b]\n[b]·Flood Dragon Egg: [/b]\nFlood Dragon's unhatched egg; it shows obvious signs of life. To hatch the egg, it must be in a place with temperature below -200 degrees, extremely rich in Qi, and very conducive to the Water element.\n[b]·Phoenix Egg: [/b]\nEgg of a phoenix that have not hatched yet, within it are obvious signs of life. To hatch the egg, it must be in a place with temperature above 300 degrees, extremely rich in Qi, and very conducive to the Fire element.	Other Contents
7	[b][align=center][color=#ffe5a1][size=22]New Content: Shendao Cultivation[/size][/color][/align][/b]A new shendao cultivation from ancient times, which allows you to collect the power of faith from mortals for use. Use the power of faith to open up a divine realm in the void, ascend to the divine throne, draw the power of the protectors of the heavens into one body, and create your own divine weapon of faith. \n\n[b][size=20][color=#F2D896]New laws: [/size][/color][/b]\n[b]-Celestial Thunder Salvation Sutra: [/b]\nIt is the inheritance of the Thunder Ancestor, practicing this law can borrow the Thunder Ancestor's spirit guide, calling the protection of the spirits of the Nine Heavens Thunder Department, focusing on the imperial weapon attack. \n[b]-Eight Heavens Sadhana: [/b]\nIt is an inheritance from the Western Outer Heavens. Practising this method allows one to draw on the spirit guides of the Heavens to call upon the protection of the eight divisions of spirits, focusing on the way of magic. \n[b]-Nether Salvation Sutra: [/b]\nIt is inherited from the Ancestors of the Underworld, and the practice of this method can draw on the nine ghostly guides to summon the protection of the spirits of the ten directions of the Underworld, focusing on the way of protection. \n\n[b][size=20][color=#F2D896]Gaining followers:[/size][/color][/b]\nA Shendao cultivator uses his influence from all over the world to gain the attention of mortals and collect their power of faith.\n\n[b][size=20][color=#F2D896]State of mind:[/size][/color][/b]\nThe Shendao cultivator opens up a whole new realm of mind, Move Calm Still Sagely Wise Empty Spirit The seven states of mind, each with its own wonderful meaning, await breakthrough. \n\n[b][size=20][color=#F2D896]Humanity and divinity:[/size][/color][/b]\nAs one deepens one's divine cultivation, one gradually acquires divinity and loses one's humanity. This process is almost irreversible, and there are only a few ways to recover a limited amount of humanity. As divinity increases, the divine cultivation character gradually loses human emotions, but also has increased control over divine power. Once the character's divinity reaches 100, the character will lose all humanity and forcefully trigger the faith tribulation, and if the tribulation is successfully passed, he or she will leave behind a legacy and become a deity. \n\n[b][size=20][color=#F2D896]Sacred Relics of Faith:[/size][/color][/b]\nA cultivator of the divine law can refine his or her only native magic weapon. The sacred relic is initially mediocre, but as the Divine Realm is built, the ability of the relic will gradually increase. It even breaks through the limits and becomes an unparalleled supreme treasure. \n\n[b][size=20][color=#F2D896]Opening the Divine Realm: [/size][/color][/b]\nWhen a cultivator of the Divine Path reaches a certain level of cultivation, he or she can open their own Divine Realm. When a character opens a divine realm, the higher the number of believers, the higher the level of mind, the stronger the divinity, the calmer the mind, and the more properly the location is arranged, the larger the initial area of the Divine Realm will be. Consuming faith in the divine realm, building and improving all aspects of the divine path cultivator's abilities. \n\n[b][size=20][color=#F2D896]Sacrifice to the Guardian:[/size][/color][/b]\nUnlike the traditional Golden Core practice of comprehending various secrets to strengthen oneself, the Shendao cultivators primarily gains unparalleled divine power by building a hall of guardians in the shendao realm and making offerings to them, with different types of guardians providing different divine power. The various divine practices are blessed with a number of unique protectors, which are unlocked as the level of the practice increases. But there are more divine protectors in heaven and earth waiting to be acquired by characters in their quests and strange encounters. \n\n[b][size=20][color=#F2D896]Listen to all beings:[/size][/color][/b]\nListen to the wishes of all beings in the realm of the gods, consume their faith, fulfil their wishes, and gain more followers. \n\n[b][size=20][color=#F2D896]Acquisition of the divine name:[/size][/color][/b]\nThe unique divine name is given to the Shendao cultivator according to what he has done, his level of training and the number of followers, which is a unique achievement and sign of the Shendao cultivator. \n\n[b][size=20][color=#F2D896]Core followers:[/size][/color][/b][/b]\nWalk the world, looking for people who have a destiny with Shendao cultivators, getting a breakthrough from their information, giving them a head start, persuading them to transcend from the sea of red earth and suffering, and following the Shendao cultivators to explore the true meaning of practice. \n\n[b][size=20][color=#F2D896]The Heavenly Tribulation of Faith:[/size][/color][/b]\nAlthough there are no barriers to the practice of the Shendao path, the challenges of the Heavenly Tribulation are formidable if one wishes to reach the summit. There are three kinds of faith-based heavenly calamities that cultivators have to face in the course of Shendao practice.	Shendao Cultivation
8	[b][align=center][color=#ffe5a1][size=22]New Content: Sect Expand[/size][/color][/align][/b][b][size=20][color=#F2D896]Unlock Sect Expansion:[/size][/color][/b]\nMortals all over the world are complaining and need help from various sects. However, it is inconvenient for those who cultivate immortality to intervene directly, so they can establish mortal agents to understand people's livelihood and collect believers. \n[b][size=20][color=#F2D896]Agent building:[/size][/color][/b]\nThe content that can be built varies from agent point to agent point. Each day you can collect either faith or grievances to be collected by cultivators. Divided into cities and regions. Send the disciple who is most capable of dealing with the world to become the agent in charge. \n\n[b]-[/b]Regions include: Mt. South, Central Plain, Great Desert, Riverbank Plains, The Great Snowland and Wild South. \n[b]-[/b]Cities include: Riverback City, Seascape, Snaketail Village, City of Abundance, City of Desolation. \n[b]-[/b]Can be built: Main hall, Field, Mine, Logging Camp, Spirit stone mine, Discipline Temple, Secret Pavilion, Divine Temple, Spirit Master Hall, Statue, etc. \n\n[b][size=20][color=#F2D896]Policies:[/size][/color][/b]\nagent points can take various policies, during which the agent prefers a certain type of action, but consumes influence values. To collect the faithful, find treasures, acquire basic supplies, collect the Tao or disturb the mortal realm, you need to understand the hearts of incidents \n\n[b][size=20][color=#F2D896]Disciples: [/size][/color][/b]\n\nMany outer disciples and no use? Send more outer disciples to agencies to give advices and improve their overall abilities. Each agency can have a maximum of 30 disciples. \n\n[b][size=20][color=#F2D896]Disasters:[/size][/color][/b]\nTime passes and things are unpredictable. Disasters occur periodically at agencies and require different supplies for relief. If left unattended, the people may not survive. Join with other sects to help mortals contain disasters or fuel the fire. \n\n[b][size=20][color=#F2D896]Wonders:[/size][/color][/b]\nThe main hall is built to an advanced level, then mortal wonders can be built at this location. The effect of mortal wonders is powerful, but only one can be built at an agency, and the wonders that can be built at different locations vary. \n\n[b][size=20][color=#F2D896]Collection:[/size][/color][/b]\nWant to be the only agent at an agency? You must undergo a long test of mortality. Once you have a senior main hall, you can adopt a policy of incorporation, during which there will be a succession of events, and you must choose a beneficial means. If a mistake is made in the middle of the process, all previous work will be lost. If successful, it reaches the hearts and minds of the people and other agents withdraw in droves.	Sect Expansion
9	[b][align=center][color=#ffe5a1][size=22]New Content: Sect interactions[/size][/color][/align][/b][b][size=20][color=#F2D896]Unlock World Exploration:[/size][/color][/b]\nMost areas around the world are now accessible for exploration, with hidden treasures and lurking risks waiting to be explored by cultivators. \n\n[b][size=20][color=#F2D896]Unlocking the Conquest of the World:[/size][/color][/b]\nThe sects all have their own mountain gates. Countless treasures, ancient formation diagrams, lost secret treasures and beautiful architecture are all here. \nBut be careful, each sect has thousands of years of accumulation in their respective sects, and there are also great powers who will form up against the enemy and guard their sects. \nIt will be an unprecedented challenge to break into the enemy's mountain gate, break their mountain protection formations and subdue them. \n\n[b][size=20][color=#F2D896]Sect Trade:[/size][/color][/b]\nNow the great sects have opened up their own treasures for sale to the public. Befriend them to gain access to buy more treasured materials and even rent their experts to help fight the enemy. \nThose top treasures in the sects' trade are very precious and are not easily sold by uncaring comers. \n\n[b][size=20][color=#F2D896]favours:[/size][/color][/b]\nNot all items can be traded directly using spirit stones. If a sect owes us a connection, this can be used as a reason to trade top treasures. You can earn connections by giving items of your choice or by helping them to complete tasks. \n\n[b][size=20][color=#F2D896]Missions:[/size][/color][/b]\nDuring the development or friction of a sect, various events will occur and missions will be issued to the world according to the needs of each sect itself. If you meet their needs, you will earn favours and connections. \More than 40 new types of mission have been added. \n\n[b][size=20][color=#F2D896]Master:[/size][/color][/b]\nEvery sect has a master. There are several things that the master has in mind, and if one can give him what he likes, one will surely gain connections. \n\n[b][size=20][color=#F2D896]Access:[/size][/color][/b]\nDepartments have set permissions for their own jurisdictions and must obtain permission to enter and leave freely. Failure to do so will result in an attack and expulsion. \n\n[b][size=20][color=#F2D896]Renting treasure artifacts: [/size][/color][/b]\nSects offer the service of renting treasure artifacts, which varies from sect to sect and each has special effects, so please take what you need. You can only borrow one magic treasure at a time, and if it is damaged during the rental period, you will lose favours and connections. \n\n[b][size=20][color=#F2D896]Help:[/size][/color][/b]\nIn times of crisis, you can seek help from a friendly sect to have their disciples stationed for a period of time. However, if the helper inadvertently dies, he or she will lose favours and connections.	Sect Interactions
